dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
exp6_stripe__nr100000__ns100000__a3_000em01__g1,stripe,0.3,100000,100000,ours,sampling,1000000,3,1,529.434,25.0754,543.512,544.227,60000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em01__g1,stripe,0.3,100000,100000,ours,enum_sampling,1000000,3,1,553.145,25.5938,566.956,568.676,60000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em01__g1,stripe,0.3,100000,100000,ours,adaptive,1000000,3,1,359.468,28.2495,375.046,376.353,60000,0,1,
exp6_stripe__nr100000__ns100000__a1_000ep00__g1,stripe,1,100000,100000,ours,sampling,1000,3,1,493.56,27.9576,508.837,510.379,200000,0,1,
exp6_stripe__nr100000__ns100000__a1_000ep00__g1,stripe,1,100000,100000,ours,enum_sampling,1000,3,1,451.533,26.7751,466.242,467.58,200000,0,1,
exp6_stripe__nr100000__ns100000__a1_000ep00__g1,stripe,1,100000,100000,ours,adaptive,1000,3,1,360.342,32.9725,376.691,381.42,200000,0,1,
exp6_stripe__nr100000__ns100000__a1_000ep00__g1,stripe,1,100000,100000,ours,sampling,3000,3,1,499.698,29.1278,514.713,517.901,200000,0,1,
exp6_stripe__nr100000__ns100000__a1_000ep00__g1,stripe,1,100000,100000,ours,enum_sampling,3000,3,1,452.992,26.7208,467.629,469.039,200000,0,1,
exp6_stripe__nr100000__ns100000__a1_000ep00__g1,stripe,1,100000,100000,ours,adaptive,3000,3,1,358.024,30.4252,374.038,376.793,200000,0,1,
exp6_stripe__nr100000__ns100000__a1_000ep00__g1,stripe,1,100000,100000,ours,sampling,10000,3,1,495.9,26.3686,509.73,512.203,200000,0,1,
exp6_stripe__nr100000__ns100000__a1_000ep00__g1,stripe,1,100000,100000,ours,enum_sampling,10000,3,1,453.246,26.8102,467.536,469.65,200000,0,1,
exp6_stripe__nr100000__ns100000__a1_000ep00__g1,stripe,1,100000,100000,ours,adaptive,10000,3,1,359.27,26.6069,374.257,374.927,200000,0,1,
exp6_stripe__nr100000__ns100000__a1_000ep00__g1,stripe,1,100000,100000,ours,sampling,30000,3,1,500.026,30.1096,517.255,517.533,200000,0,1,
exp6_stripe__nr100000__ns100000__a1_000ep00__g1,stripe,1,100000,100000,ours,enum_sampling,30000,3,1,452.588,29.4429,469.305,469.811,200000,0,1,
