dataset,generator,alpha,n_r,n_s,method,variant,t,repeats_ok,build_ms,count_ms,enum_ms,sample_ms,run_total_ms_from_phases,wall_ms,build_pct,count_pct,enum_pct,sample_pct
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,tsunami,adaptive,100000,3,85.893412,0.0,5680.195204,1.164157,5767.294163,5767.31,1.4893190735969055,0.0,98.48977776166193,0.02018549716899537
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,aabb,sampling,100000,3,35.094659,526.337117,0.0,283.964897,846.6884280000002,846.69,4.144931930025149,62.1642034535991,0.0,33.53829904948222
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,interval_tree,sampling,100000,3,136.919557,394.202824,0.0,270.634908,800.751919,834.694,17.098873415250594,49.229082646756666,0.0,33.797597180656894
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,kd_tree,sampling,100000,3,95.728491,210.243212,0.0,93.048215,398.49116,398.494,24.02273892349331,52.75981831064961,0.0,23.350132785881623
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,ours,sampling,100000,3,101.623631,221.10269,0.0,148.931443,469.221943,512.749,21.657902516293873,47.12113175832444,0.0,31.740084883455673
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,pbsm,sampling,100000,3,22.728179,9.328861,0.0,16.178243,48.344531,48.3462,47.0129268603309,19.29662116279502,0.0,33.4644739856924
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,r_tree,sampling,100000,3,35.273746,322.302352,0.0,276.758164,634.250553,634.259,5.561484469056506,50.81625084527124,0.0,43.63546278216647
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,range_tree,sampling,100000,3,89.622755,1024.456352,0.0,803.926998,1918.359089,1918.37,4.671844573516132,53.40274184714955,0.0,41.90701327033982
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,sirs,sampling,100000,3,118.601528,2750.2333,0.0,16.233581,2885.147872,2885.15,4.110760808865744,95.32382470550888,0.0,0.5626602767069542
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,tlsop,sampling,100000,3,391.838465,535.602294,0.0,523.807123,1450.6417940000001,1450.65,27.01138672694273,36.92174706500976,0.0,36.10864688764096
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,tsunami,sampling,100000,3,86.165167,5329.838036,0.0,17.071244,5433.652614,5433.66,1.585768784297921,98.08941451773127,0.0,0.3141762128115318
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,aabb,adaptive,100000,3,35.300266,0.0,1000.6394789999999,1.269665,1037.2127389999998,1037.23,3.4033775977369682,0.0,96.47389020354098,0.12241124238640887
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,interval_tree,adaptive,100000,3,133.679396,0.0,552.355667,1.273384,687.182019,727.993,19.45327326732628,0.0,80.37981957150134,0.18530519786490515
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,kd_tree,adaptive,100000,3,95.629135,0.0,405.839151,1.222775,502.695152,502.711,19.02328570696063,0.0,80.7326566379936,0.24324384174685654
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,ours,adaptive,100000,3,101.970887,0.0,237.713461,1.200176,340.89509400000003,383.799,29.912688329859037,0.0,69.73214492784692,0.3520660816550208
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,pbsm,adaptive,100000,3,22.776399,0.0,15.005657,0.657007,38.397274,38.4059,59.31775000485712,0.0,39.080006044179065,1.7110771978239914
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,r_tree,adaptive,100000,3,35.504951,0.0,408.201035,1.263534,444.92650199999997,445.285,7.979958676410784,0.0,91.74572275759829,0.2839871291820688
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,range_tree,adaptive,100000,3,91.308983,0.0,1239.375889,1.297554,1331.937805,1331.96,6.855348850166468,0.0,93.05058271846258,0.09741851272102003
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,rejection,adaptive,100000,3,298.825759,0.0,1308.220688,1.275614,1608.3233220000002,1619.91,18.579955591789894,0.0,81.34065272231375,0.07931328126323096
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,sirs,adaptive,100000,3,118.955775,0.0,3367.1966780000002,1.268074,3487.838709,3487.85,3.4105870404226883,0.0,96.54106622853013,0.03635701377841437
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,tlsop,adaptive,100000,3,389.912827,0.0,544.2941450000001,1.255745,935.462717,936.543,41.68127921232803,0.0,58.18448294182525,0.13423784584672013
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,tsunami,adaptive,100000,3,86.016112,0.0,5697.633935,1.270854,5784.9135320000005,5784.93,1.486904022405706,0.0,98.49125494240835,0.021968418248087995
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,aabb,sampling,100000,3,35.322966,777.296676,0.0,444.726705,1256.5039729999999,1256.51,2.811210052576571,61.86185580807552,0.0,35.39397523257971
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,interval_tree,sampling,100000,3,136.813922,395.045519,0.0,273.954499,803.125585,833.561,17.035184105111032,49.18851128369918,0.0,34.11104117670464
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,kd_tree,sampling,100000,3,95.562797,203.784939,0.0,97.009078,396.333955,396.353,24.111685560728706,51.41748175474897,0.0,24.47660029532418
