dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
stripe_alpha__nr100000__ns100000__a3_000em01__g1,stripe_ctrl_alpha,0.3,100000,100000,kd_tree,sampling,100000,3,1,352.852,3.82586,350.974,356.626,60000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em01__g1,stripe_ctrl_alpha,0.3,100000,100000,kd_tree,adaptive,100000,3,1,467.613,0.097969,467.568,467.71,60000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em01__g1,stripe_ctrl_alpha,0.3,100000,100000,r_tree,sampling,100000,3,1,607.348,1.9253,606.422,609.248,60000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em01__g1,stripe_ctrl_alpha,0.3,100000,100000,r_tree,adaptive,100000,3,1,421.875,2.23004,422.306,423.703,60000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em01__g1,stripe_ctrl_alpha,0.3,100000,100000,range_tree,sampling,100000,3,1,1822.1,1.77365,1822.28,1823.63,60000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em01__g1,stripe_ctrl_alpha,0.3,100000,100000,range_tree,adaptive,100000,3,1,1293.63,12.4584,1299.42,1301.86,60000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em01__g1,stripe_ctrl_alpha,0.3,100000,100000,pbsm,sampling,100000,3,1,36.515,0.5299,36.5966,36.959,60000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em01__g1,stripe_ctrl_alpha,0.3,100000,100000,pbsm,adaptive,100000,3,1,26.1575,0.0150399,26.1655,26.1667,60000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em01__g1,stripe_ctrl_alpha,0.3,100000,100000,tlsop,sampling,100000,3,1,1423.03,7.13926,1422.36,1429.67,60000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em01__g1,stripe_ctrl_alpha,0.3,100000,100000,tlsop,adaptive,100000,3,1,928.994,3.58819,930.738,931.314,60000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em01__g1,stripe_ctrl_alpha,0.3,100000,100000,sirs,sampling,100000,3,1,2869.54,2.43549,2870.62,2871.19,60000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em01__g1,stripe_ctrl_alpha,0.3,100000,100000,sirs,adaptive,100000,3,1,3457.04,1.27384,3456.55,3458.29,60000,0,1,
