dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,rejection,adaptive,30000,3,1,244.676,5.36842,244.062,249.699,6.34799e+06,11640.3,0,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,ours,sampling,100000,3,1,610.312,40.1878,630.34,635.93,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,ours,adaptive,100000,3,1,690.993,45.8121,714.66,719.583,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,aabb,sampling,100000,3,1,537.75,1.76773,536.93,539.494,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,aabb,adaptive,100000,3,1,682.694,1.78689,682.934,684.207,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,interval_tree,sampling,100000,3,1,1160.04,49.5418,1185.79,1190.83,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,interval_tree,adaptive,100000,3,1,1467.5,42.2315,1491.22,1492.41,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,kd_tree,sampling,100000,3,1,649.003,6.0374,651.022,653.497,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,kd_tree,adaptive,100000,3,1,1090.34,2.81775,1091.42,1092.36,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,r_tree,sampling,100000,3,1,359.495,2.57993,358.306,362.04,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,r_tree,adaptive,100000,3,1,485.447,1.46507,484.792,486.892,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,range_tree,sampling,100000,3,1,2304.67,1.83154,2303.7,2306.47,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,range_tree,adaptive,100000,3,1,2889.16,4.46847,2891.59,2891.86,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,pbsm,sampling,100000,3,1,521.692,0.83935,522.16,522.19,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,pbsm,adaptive,100000,3,1,568.063,2.44902,566.775,570.476,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,tlsop,sampling,100000,3,1,255.766,2.14524,254.862,257.88,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,tlsop,adaptive,100000,3,1,276.306,0.90488,276.287,277.127,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,sirs,sampling,100000,3,1,866.867,4.06364,867.3,870.356,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,sirs,adaptive,100000,3,1,970.295,2.0672,969.879,972.272,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,rejection,sampling,100000,3,0,-1,-1,-1,-1,-1,-1,0,SKIPPED: rejection+sampling is disabled in sjs_sweep; use variant=adaptive.
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,rejection,adaptive,100000,3,1,277.838,2.86097,277.783,280.431,6.34799e+06,11640.3,0,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,ours,sampling,300000,3,1,720.193,157.763,667.983,874.497,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,ours,adaptive,300000,3,1,790,70.7253,750.781,859.559,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,aabb,sampling,300000,3,1,670.649,0.952266,670.64,671.51,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,aabb,adaptive,300000,3,1,814.484,1.5369,814.453,815.878,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,interval_tree,sampling,300000,3,1,1280.89,32.5935,1298.84,1300.4,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,interval_tree,adaptive,300000,3,1,1565.33,32.6441,1584.01,1584.32,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,kd_tree,sampling,300000,3,1,838.626,2.18347,838.409,840.659,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,kd_tree,adaptive,300000,3,1,1278.38,2.6904,1279.69,1280.12,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,r_tree,sampling,300000,3,1,429.814,2.44034,428.72,432.221,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,r_tree,adaptive,300000,3,1,553.349,1.95607,552.572,555.274,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,range_tree,sampling,300000,3,1,2521.69,1.69218,2522.37,2522.88,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,range_tree,adaptive,300000,3,1,3104.97,4.02044,3105.95,3108.16,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,pbsm,sampling,300000,3,1,552.883,0.489006,552.614,553.364,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,pbsm,adaptive,300000,3,1,594.008,0.354011,593.981,594.336,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,tlsop,sampling,300000,3,1,273.611,2.36076,272.815,275.922,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,tlsop,adaptive,300000,3,1,293.719,0.612771,293.953,294.158,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,sirs,sampling,300000,3,1,1088.29,3.66583,1086.38,1091.91,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,sirs,adaptive,300000,3,1,1191.52,2.4506,1190.46,1193.94,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,rejection,sampling,300000,3,0,-1,-1,-1,-1,-1,-1,0,SKIPPED: rejection+sampling is disabled in sjs_sweep; use variant=adaptive.
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,rejection,adaptive,300000,3,1,379.303,8.48819,378.907,387.075,6.34799e+06,11640.3,0,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,ours,sampling,1000000,3,1,705.837,39.9,728.049,729.524,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,ours,adaptive,1000000,3,1,803.733,31.3862,813.658,827.426,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,aabb,sampling,1000000,3,1,827.304,1.09792,827.73,828.086,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,aabb,adaptive,1000000,3,1,970.94,1.81058,971.021,972.54,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,interval_tree,sampling,1000000,3,1,1433.3,45.1025,1458.95,1459.65,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,interval_tree,adaptive,1000000,3,1,1739.92,31.0045,1753.34,1761.1,6.33447e+06,0,1,
