dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,sirs,sampling,30000,3,1,1067.11,2.50602,1066.42,1069.54,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,sirs,adaptive,30000,3,1,1122.39,1.00688,1122.65,1123.19,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,rejection,sampling,30000,3,0,-1,-1,-1,-1,-1,-1,0,SKIPPED: rejection+sampling is disabled in sjs_sweep; use variant=adaptive.
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,rejection,adaptive,30000,3,1,232.133,3.55367,232.909,235.002,2.15307e+07,246788,0,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,ours,sampling,100000,3,1,588.43,40.2712,610.534,612.582,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,ours,adaptive,100000,3,1,630.649,43.5092,654.598,656.69,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,aabb,sampling,100000,3,1,1035.59,0.506637,1035.66,1036.02,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,aabb,adaptive,100000,3,1,1140.21,1.77247,1139.26,1141.96,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,interval_tree,sampling,100000,3,1,1086.24,43.1532,1110.6,1111.59,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,interval_tree,adaptive,100000,3,1,1288.17,27.3051,1300.64,1306.37,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,kd_tree,sampling,100000,3,1,727.025,1.95413,726.008,728.951,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,kd_tree,adaptive,100000,3,1,1043.31,2.46209,1044.47,1044.93,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,r_tree,sampling,100000,3,1,574.479,2.60834,574.83,576.687,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,r_tree,adaptive,100000,3,1,671.609,0.751998,671.767,672.218,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,range_tree,sampling,100000,3,1,2031.48,2.47848,2030.7,2033.9,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,range_tree,adaptive,100000,3,1,2385.59,0.656918,2385.72,2386.12,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,pbsm,sampling,100000,3,1,1636.27,16.6871,1645.49,1646.23,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,pbsm,adaptive,100000,3,1,1718.81,3.31568,1717.39,1722.08,2.16826e+07,0,1,
