run_id,regime,alpha,t,repeats,seed,gen_seed,N,method,variant,exit_code,rss_kb,enum_truncated_any,run_csv
20251228_165406,alpha100,100,100000,5,1,1,100000,tlsop,sampling,0,45216,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/tlsop/sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,tlsop,enum_sampling,0,45300,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/tlsop/enum_sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,tlsop,adaptive,0,58588,1,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/tlsop/adaptive/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,sirs,sampling,0,24096,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/sirs/sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,sirs,enum_sampling,0,21916,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/sirs/enum_sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,sirs,adaptive,0,47012,1,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/sirs/adaptive/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,rejection,sampling,0,99664,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/rejection/sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,rejection,enum_sampling,0,99952,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/rejection/enum_sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,rejection,adaptive,0,121256,1,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/rejection/adaptive/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,tsunami,sampling,0,37812,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/tsunami/sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,tsunami,enum_sampling,0,37224,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/tsunami/enum_sampling/run.csv
