dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,rejection,adaptive,100000,3,1,1614.46,20.4606,1619.91,1630.47,1e+06,0,1,
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,tsunami,sampling,100000,3,1,5442.7,1.50462,5443.07,5443.89,1e+06,0,1,
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,tsunami,adaptive,100000,3,1,5780.57,12.9092,5784.93,5790.16,1e+06,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,ours,sampling,100000,3,1,504.498,31.2934,521.112,523.693,6e+06,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,ours,adaptive,100000,3,1,571.622,27.7168,585.722,589.08,6e+06,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,aabb,sampling,100000,3,1,1280.87,4.17936,1278.52,1284.98,6e+06,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,aabb,adaptive,100000,3,1,1653.58,2.20976,1654.39,1655.18,6e+06,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,interval_tree,sampling,100000,3,1,842.931,22.891,851.747,859.268,6e+06,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,interval_tree,adaptive,100000,3,1,1186.05,15.9792,1192.96,1196.96,6e+06,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,kd_tree,sampling,100000,3,1,453.153,2.29248,452.318,455.403,6e+06,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,kd_tree,adaptive,100000,3,1,807.126,1.54765,807.746,808.215,6e+06,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,r_tree,sampling,100000,3,1,690.023,1.31763,689.743,691.286,6e+06,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,r_tree,adaptive,100000,3,1,924.797,3.695,926.758,927.065,6e+06,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,range_tree,sampling,100000,3,1,1957.36,3.26668,1957.05,1960.4,6e+06,0,1,
